

                                                            Ecliptic Coordinate System

                         +---------- Position (1 Rs = 60268.0 km) ----------+    +-------------------- Velocity --------------------+

      SCET (UT)              X (Rs)        Y (Rs)        Z (Rs)        R (Rs)      X (km/s)      Y (km/s)      Z (km/s)   Vmag (km/s)
2005 104 02 00 00.000        11.122        -5.031         4.259        12.929        -4.060         6.508        -2.749         8.148
2005 105 02 00 00.000        -3.310         0.315        -0.964         3.462       -10.820       -14.653         0.850        18.235
2005 106 02 00 00.000        -5.089       -14.008         2.217        15.068         1.220        -6.837         2.070         7.247
2005 107 02 00 00.000        -2.619       -21.932         4.568        22.555         2.309        -4.592         0.986         5.234
2005 108 02 00 00.000         0.750       -27.448         5.762        28.057         2.374        -3.207         0.699         4.051
2005 109 02 00 00.000         4.088       -31.322         6.612        32.273         2.296        -2.242         0.496         3.247
2005 110 02 00 00.000         7.269       -33.980         7.205        35.488         2.165        -1.487         0.336         2.648
2005 111 02 00 00.000        10.239       -35.651         7.587        37.861         2.005        -0.852         0.201         2.188
2005 112 02 00 00.000        12.963       -36.472         7.788        39.483         1.825        -0.292         0.081         1.850
2005 113 02 00 00.000        15.415       -36.526         7.825        40.410         1.624         0.223        -0.029         1.640
2005 114 02 00 00.000        17.563       -35.866         7.708        40.672         1.402         0.711        -0.134         1.578
2005 115 02 00 00.000        19.375       -34.516         7.442        40.275         1.152         1.188        -0.237         1.671
2005 116 02 00 00.000        20.803       -32.483         7.028        39.209         0.864         1.668        -0.341         1.909
2005 117 02 00 00.000        21.786       -29.753         6.463        37.438         0.524         2.165        -0.448         2.272
2005 118 02 00 00.000        22.231       -26.287         5.739        34.902         0.106         2.698        -0.564         2.758
2005 119 02 00 00.000        21.998       -22.017         4.837        31.497        -0.426         3.293        -0.711         3.396
2005 120 02 00 00.000        20.859       -16.827         3.711        27.056        -1.197         3.989        -0.864         4.254
2005 121 02 00 00.000        18.315       -10.524         2.340        21.252        -2.464         4.859        -1.057         5.550
2005 122 02 00 00.000        13.083        -2.796         0.653        13.394        -5.325         5.959        -1.304         8.097
2005 123 02 00 00.000        -1.788         3.057        -0.664         3.604       -15.895        -8.120         1.686        17.928
2005 124 02 00 00.000        -6.217       -11.848         2.513        13.613         1.270        -7.724         1.658         8.001
2005 125 02 00 00.000        -3.527       -20.650         4.407        21.408         2.212        -4.933         1.064         5.510
2005 126 02 00 00.000        -0.242       -26.570         5.687        27.172         2.342        -3.441         0.745         4.229
2005 127 02 00 00.000         3.075       -30.737         6.590        31.585         2.294        -2.423         0.526         3.378
2005 128 02 00 00.000         6.266       -33.630         7.219        34.962         2.180        -1.637         0.357         2.750
2005 129 02 00 00.000         9.267       -35.500         7.628        37.475         2.033        -0.983         0.217         2.268
2005 130 02 00 00.000        12.039       -36.498         7.849        39.225         1.863        -0.409         0.093         1.910
2005 131 02 00 00.000        14.552       -36.713         7.900        40.274         1.672         0.115        -0.020         1.676
2005 132 02 00 00.000        16.776       -36.201         7.795        40.654         1.460         0.609        -0.127         1.587
2005 133 02 00 00.000        18.678       -34.994         7.539        40.376         1.220         1.090        -0.230         1.653
2005 134 02 00 00.000        20.213       -33.099         7.134        39.433         0.945         1.572        -0.334         1.865
2005 135 02 00 00.000        21.322       -30.505         6.579        37.795         0.621         2.069        -0.441         2.205
2005 136 02 00 00.000        21.921       -27.179         5.865        35.407         0.225         2.598        -0.556         2.666
2005 137 02 00 00.000        21.879       -23.058         4.980        32.174        -0.285         3.184        -0.682         3.268
2005 138 02 00 00.000        20.979       -18.034         3.900        27.938        -0.998         3.864        -0.829         4.076
2005 139 02 00 00.000        18.801       -11.929         2.587        22.416        -2.131         4.707        -1.011         5.265
2005 140 02 00 00.000        14.309        -4.438         0.974        15.013        -4.493         5.802        -1.249         7.443
2005 141 02 00 00.000         2.540         3.727        -0.793         4.580       -15.568         2.007        -0.452        15.704
2005 142 02 00 00.000        -6.579        -9.693         2.048        11.892         0.688        -8.582         1.826         8.801
2005 143 02 00 00.000        -4.272       -19.302         4.096        20.189         2.093        -5.317         1.134         5.825
2005 144 02 00 00.000        -1.088       -25.656         5.452        26.252         2.303        -3.688         0.787         4.419
2005 145 02 00 00.000         2.197       -30.128         6.407        30.879         2.285        -2.608         0.558         3.512
2005 146 02 00 00.000         5.388       -33.260         7.076        34.428         2.187        -1.789         0.383         2.852
2005 147 02 00 00.000         8.407       -35.332         7.519        37.089         2.051        -1.115         0.239         2.347
2005 148 02 00 00.000        11.212       -36.508         7.771        38.973         1.891        -0.528         0.114         1.966
2005 149 02 00 00.000        13.771       -36.885         7.851        40.147         1.709         0.005         0.000         1.709
2005 150 02 00 00.000        16.054       -36.526         7.775        40.649         1.506         0.505        -0.106         1.592
